ID longitude latitude risk_index
000201 -4.136208 50.430293 1.3703
000202 -4.136208 50.434988 1.3645
000203 -4.136208 50.439683 1.3597
000204 -4.136208 50.444378 1.3558
000205 -4.136208 50.449073 1.3525
000206 -4.136208 50.453768 1.3497
000207 -4.136208 50.458463 1.3474
000208 -4.136208 50.463158 1.3454
000209 -4.136208 50.467853 1.3437
000210 -4.130737 50.388039 1.6249
000211 -4.130737 50.392734 1.6021
000212 -4.130737 50.397429 1.5514
000213 -4.130737 50.402124 1.4997
000214 -4.130737 50.406819 1.4587
000215 -4.130737 50.411513 1.4289
000216 -4.130737 50.416208 1.4076
000217 -4.130737 50.420903 1.3922
000218 -4.130737 50.425598 1.3809
000219 -4.130737 50.430293 1.3723
000220 -4.130737 50.434988 1.3656
000221 -4.130737 50.439683 1.3604
000222 -4.130737 50.444378 1.3561
000223 -4.130737 50.449073 1.3527
000224 -4.130737 50.453768 1.3498
000225 -4.130737 50.458463 1.3474
000226 -4.130737 50.463158 1.3454
000227 -4.125266 50.388039 1.9977
000228 -4.125266 50.392734 1.8871
000229 -4.125266 50.397429 1.7033
000230 -4.125266 50.402124 1.5725
000231 -4.125266 50.406819 1.4940
000232 -4.125266 50.411513 1.4468
000233 -4.125266 50.416208 1.4171
000234 -4.125266 50.420903 1.3974
000235 -4.125266 50.425598 1.3838
000236 -4.125266 50.430293 1.3739
000237 -4.125266 50.434988 1.3665
000238 -4.125266 50.439683 1.3608
000239 -4.125266 50.444378 1.3563
000240 -4.125266 50.449073 1.3527
000241 -4.125266 50.453768 1.3498
000242 -4.119794 50.388039 1.3373
000243 -4.119794 50.392734 1.3373
000244 -4.119794 50.397429 1.9742
000245 -4.119794 50.402124 1.6595
000246 -4.119794 50.406819 1.5274
000247 -4.119794 50.411513 1.4614
000248 -4.119794 50.416208 1.4241
000249 -4.119794 50.420903 1.4009
000250 -4.119794 50.425598 1.3855
000251 -4.119794 50.430293 1.3747
000252 -4.119794 50.434988 1.3669
000253 -4.119794 50.439683 1.3609
000254 -4.119794 50.444378 1.3563
000255 -4.119794 50.449073 1.3526
000256 -4.114323 50.388039 1.3360
000257 -4.114323 50.392734 1.3360
000258 -4.114323 50.397429 1.3359
000259 -4.114323 50.402124 1.6981
000260 -4.114323 50.406819 1.5395
000261 -4.114323 50.411513 1.4659
000262 -4.114323 50.416208 1.4258
000263 -4.114323 50.420903 1.4014
000264 -4.114323 50.425598 1.3855
000265 -4.114323 50.430293 1.3745
000266 -4.114323 50.434988 1.3665
000267 -4.114323 50.439683 1.3605
000268 -4.114323 50.444378 1.3559
000269 -4.108852 50.388039 1.3349
000270 -4.108852 50.392734 1.3349
000271 -4.108852 50.397429 1.9166
000272 -4.108852 50.402124 1.6424
000273 -4.108852 50.406819 1.5200
000274 -4.108852 50.411513 1.4571
000275 -4.108852 50.416208 1.4210
000276 -4.108852 50.420903 1.3985
000277 -4.108852 50.425598 1.3835
000278 -4.108852 50.430293 1.3730
000279 -4.108852 50.434988 1.3654
000280 -4.103381 50.388039 1.8847
000281 -4.103381 50.392734 1.8052
000282 -4.103381 50.397429 1.6628
000283 -4.103381 50.402124 1.5526
000284 -4.103381 50.406819 1.4827
000285 -4.103381 50.411513 1.4392
000286 -4.103381 50.416208 1.4114
000287 -4.103381 50.420903 1.3927
000288 -4.097910 50.388039 1.5852
000289 -4.097910 50.392734 1.5671
000290 -4.097910 50.397429 1.5257
000291 -4.097910 50.402124 1.4818
000292 -3.310058 51.481960 1.3779
000293 -3.310058 51.486655 1.3780
000294 -3.310058 51.491350 1.3781
000295 -3.304587 51.467876 1.3791
000296 -3.304587 51.472570 1.3794
000297 -3.304587 51.477265 1.3796
000298 -3.304587 51.481960 1.3798
000299 -3.304587 51.486655 1.3799
000300 -3.304587 51.491350 1.3799
000301 -3.304587 51.496045 1.3799
000302 -3.304587 51.500740 1.3798
000303 -3.304587 51.505435 1.3797
000304 -3.299116 51.458486 1.3804
000305 -3.299116 51.463181 1.3808
000306 -3.299116 51.467876 1.3812
000307 -3.299116 51.472570 1.3815
000308 -3.299116 51.477265 1.3817
000309 -3.299116 51.481960 1.3819
000310 -3.299116 51.486655 1.3820
000311 -3.299116 51.491350 1.3821
000312 -3.299116 51.496045 1.3821
000313 -3.299116 51.500740 1.3820
000314 -3.299116 51.505435 1.3819
